,MetabolicFlux
12DGR120tipp,0.0
12DGR140tipp,5.713576079301648e-24
12DGR141tipp,1.2888728467950337e-22
12DGR160tipp,0.0
12DGR161tipp,0.0
12DGR180tipp,-5.906764922783918e-24
12DGR181tipp,-1.4300458740285847e-23
12PPDRtex,6.77756904767688e-24
12PPDRtpp,6.77756904767688e-24
12PPDStex,3.7514430669661695e-23
12PPDStpp,3.7514430669661695e-23
14GLUCANabcpp,3.511894414272858e-23
14GLUCANtexi,0.0
23CAMPtex,0.0
23CCMPtex,0.0
23CGMPtex,0.0
23CUMPtex,0.0
23DAPPAt2pp,0.0
23DAPPAtex,0.0
23PDE2pp,0.0
23PDE4pp,0.0
23PDE7pp,0.0
23PDE9pp,0.0
23bpg_generation,0.0
26DAHtex,0.0
2AGPA120tipp,0.0
2AGPA140tipp,4.026592944994349e-23
2AGPA141tipp,0.0
2AGPA160tipp,0.0
2AGPA161tipp,0.0
2AGPA180tipp,1.4823824215313896e-23
2AGPA181tipp,0.0
2AGPE120tipp,4.304739533439801e-22
2AGPE140tipp,1.4245878713134578e-23
2AGPE141tipp,-2.296196758568387e-22
2AGPE160tipp,0.00035973858938936757
2AGPE161tipp,0.0
2AGPE180tipp,-3.7736637446019857e-22
2AGPE181tipp,6.559206575298098e-56
2AGPEAT120,0.0
2AGPEAT140,0.0
2AGPEAT141,-1.6226621825992266e-22
2AGPEAT160,0.00035973858938936757
2AGPEAT161,0.0
2AGPEAT180,0.0
2AGPEAT181,0.0
2AGPG120tipp,-4.525152323159119e-22
2AGPG140tipp,-1.4245878713134578e-23
2AGPG141tipp,5.1960769365490114e-23
2AGPG160tipp,-2.0159244987383415e-22
2AGPG161tipp,-1.6398016438245245e-56
2AGPG180tipp,3.7736637446019857e-22
2AGPG181tipp,6.095772987260682e-23
2AGPGAT120,0.0
2AGPGAT140,0.0
2AGPGAT141,0.0
2AGPGAT160,-2.0159245021359575e-22
2AGPGAT161,0.0
2AGPGAT180,0.0
2AGPGAT181,3.047886493630341e-23
2DGULRGx,0.0
2DGULRGy,0.0
2DGULRx,0.0
2DGULRy,0.0
2Fe2S_to_ErpA_by_IscA,0.0
2Fe2S_to_ErpA_by_IscU,7.066111199906007e-07
2Fe2S_to_ErpA_by_SufA,0.0
2Fe2S_to_IscA_by_IscU,-9.05531933765783e-40
2Fe2S_to_IscA_by_SufBCD,0.0
2Fe2S_to_SufA_by_IscU,0.0
2MAHMP,0.0
34dhpactex,3.7514430669661695e-23
3AMACHYD,3.588858161014386e-40
3AMPtex,0.0
3CMPtex,0.0
3GMPtex,0.0
3HAD1001,0.0
3HAD1201,0.0
3HAD1211,0.0
3HAD1401,0.0
3HAD1411,0.0
3HAD1601,5.169302175836751e-23
3HAD1611,1.6283487351328718e-22
3HAD1801,0.0
3HAD1811,0.0
3HAD401,0.0
3HAD601,0.0
3HAD801,0.0
3HCINNMH,3.031196707222413e-23
3HPPPNH,3.031196707222413e-23
3HPPtex,-3.588858160775764e-40
3HPPtpp,3.588858161014386e-40
3KGK,0.0
3NTD2pp,0.0
3NTD4pp,0.0
3NTD7pp,0.0
3NTD9pp,0.0
3OAR1001,0.0
3OAR1201,0.0
3OAR1211,0.0
3OAR1401,0.007780003324786324
3OAR1411,0.0
3OAR1601,4.98917646925011e-23
3OAR1611,1.6283494310083996e-22
3OAR1801,0.0
3OAR1811,0.0
3OAR401,0.0
3OAR601,0.0
3OAR801,0.0
3OAS1001,0.0
3OAS1201,0.0
3OAS1211,0.0
3OAS1401,0.007780006649574069
3OAS1411,0.0
3OAS1601,5.1693064400891984e-23
3OAS1611,1.6283501268842245e-22
3OAS1801,0.0
3OAS1811,0.0
3OAS601,0.0
3OAS801,0.0
3OXCOAT,0.0
3PEPTabcpp,2.0425946258605324e-23
3PEPTtex,0.0
3UMPtex,0.0
42A12BOOXpp,-3.7514430669661695e-23
4Fe4S_to_ErpA_by_IscA,0.0
4Fe4S_to_ErpA_by_IscU,1.8644260414269927e-06
4Fe4S_to_ErpA_by_SufA,0.0
4Fe4S_to_IscA_by_IscU,0.0
4Fe4S_to_IscA_by_SufBCD,0.0
4Fe4S_to_SufA_by_IscU,0.0
4HOXPACDtex,3.7514430669661695e-23
4HTHRS,0.0
4PCP,0.0
4PCPpp,0.0
4PEPTabcpp,-2.0425946258923424e-23
4PEPTtex,0.0
5DGLCNR,0.0
5DGLCNt2rpp,-7.103593831605623e-23
5DGLCNtex,4.6929385075219485e-24
5DOAN,4.847773501978199e-06
5MTRtex,-8.83294536078333e-06
5MTRtpp,8.83294536078333e-06
A5PISO,0.00389
AACPS11,4.026592944994349e-23
AACPS21,1.6283508227603471e-22
AACPS31,0.012762805454188033
AACPS41,0.015042806428547007
AACPS51,0.0
AACPS61,-1.6787394809101202e-23
AACPS71,0.00849948746061085
AACPS81,0.0
AACPS91,1.6526959047836315e-08
AACTOOR,0.0
AADDGT,0.0
AAMYL,3.511894414272858e-23
AAMYLpp,-3.5118944142730375e-23
AB6PGH,0.0
ABTA,3.4061399601269914e-23
ABUTD,0.0
ABUTt2pp,0.0
ABUTtex,0.0
ACACCT,8.232785956634247e-35
