,MetabolicFlux
12DGR120tipp,0.0
12DGR140tipp,0.0
12DGR141tipp,0.0
12DGR160tipp,0.0
12DGR161tipp,0.0
12DGR180tipp,0.0
12DGR181tipp,0.0
12PPDRtex,0.0
12PPDRtpp,0.0
12PPDStex,0.0
12PPDStpp,0.0
14GLUCANabcpp,0.0
14GLUCANtexi,0.0
23CAMPtex,0.0
23CCMPtex,0.0
23CGMPtex,0.0
23CUMPtex,0.0
23DAPPAt2pp,0.0
23DAPPAtex,0.0
23PDE2pp,0.0
23PDE4pp,0.0
23PDE7pp,0.0
23PDE9pp,0.0
23bpg_generation,0.0
26DAHtex,0.0
2AGPA120tipp,0.0
2AGPA140tipp,-3.7703704906621164e-57
2AGPA141tipp,-1.450678641404673e-23
2AGPA160tipp,0.0
2AGPA161tipp,0.0
2AGPA180tipp,0.0
2AGPA181tipp,-1.2705505717590228e-23
2AGPE120tipp,0.0
2AGPE140tipp,1.5075220322715655e-22
2AGPE141tipp,4.2841312568232265e-23
2AGPE160tipp,0.0003597380662029069
2AGPE161tipp,0.0
2AGPE180tipp,-4.2326433193617584e-22
2AGPE181tipp,1.353428488123674e-22
2AGPEAT120,0.0
2AGPEAT140,0.0
2AGPEAT141,0.0
2AGPEAT160,0.0003597380662029069
2AGPEAT161,0.0
2AGPEAT180,0.0
2AGPEAT181,0.0
2AGPG120tipp,0.0
2AGPG140tipp,0.0
2AGPG141tipp,0.0
2AGPG160tipp,-6.66656182902028e-23
2AGPG161tipp,0.0
2AGPG180tipp,4.842220618087827e-22
2AGPG181tipp,0.0
2AGPGAT120,0.0
2AGPGAT140,7.537610161357827e-23
2AGPGAT141,0.0
2AGPGAT160,-1.2762687437387223e-36
2AGPGAT161,0.0
2AGPGAT180,3.047886493630341e-23
2AGPGAT181,6.131867154738859e-23
2DGULRGx,0.0
2DGULRGy,0.0
2DGULRx,0.0
2DGULRy,0.0
2Fe2S_to_ErpA_by_IscA,0.0
2Fe2S_to_ErpA_by_IscU,6.647799441875393e-07
2Fe2S_to_ErpA_by_SufA,0.0
2Fe2S_to_IscA_by_IscU,0.0
2Fe2S_to_IscA_by_SufBCD,0.0
2Fe2S_to_SufA_by_IscU,0.0
2MAHMP,0.0
34dhpactex,0.0
3AMACHYD,0.0
3AMPtex,0.0
3CMPtex,0.0
3GMPtex,0.0
3HAD1001,0.0
3HAD1201,0.0
3HAD1211,0.0
3HAD1401,0.0
3HAD1411,0.0
3HAD1601,0.0
3HAD1611,2.8334489827901004e-23
3HAD1801,0.0
3HAD1811,0.0
3HAD401,0.0
3HAD601,0.0
3HAD801,0.0
3HCINNMH,0.0
3HPPPNH,0.0
3HPPtex,0.0
3HPPtpp,0.0
3KGK,0.0
3NTD2pp,0.0
3NTD4pp,0.0
3NTD7pp,0.0
3NTD9pp,0.0
3OAR1001,0.0
3OAR1201,0.0
3OAR1211,0.0
3OAR1401,0.007780003324786324
3OAR1411,0.0
3OAR1601,0.0
3OAR1611,2.833450193665734e-23
3OAR1801,0.0
3OAR1811,0.0
3OAR401,0.0
3OAR601,0.0
3OAR801,0.0
3OAS1001,0.0
3OAS1201,0.0
3OAS1211,0.0
3OAS1401,0.007780006649574069
3OAS1411,0.0
3OAS1601,0.0
3OAS1611,2.833451404541885e-23
3OAS1801,0.0
3OAS1811,0.0
3OAS601,0.0
3OAS801,0.0
3OXCOAT,0.0
3PEPTabcpp,0.0
3PEPTtex,0.0
3UMPtex,0.0
42A12BOOXpp,0.0
4Fe4S_to_ErpA_by_IscA,0.0
4Fe4S_to_ErpA_by_IscU,2.1003199226505853e-06
4Fe4S_to_ErpA_by_SufA,0.0
4Fe4S_to_IscA_by_IscU,0.0
4Fe4S_to_IscA_by_SufBCD,0.0
4Fe4S_to_SufA_by_IscU,0.0
4HOXPACDtex,0.0
4HTHRS,0.0
4PCP,0.0
4PCPpp,0.0
4PEPTabcpp,0.0
4PEPTtex,0.0
5DGLCNR,0.0
5DGLCNt2rpp,0.0
5DGLCNtex,-3.551796915802811e-23
5DOAN,4.879053674896701e-06
5MTRtex,-8.832369885821548e-06
5MTRtpp,8.832369885821548e-06
A5PISO,0.00389
AACPS11,0.0
AACPS21,2.833452615418553e-23
AACPS31,0.012762805454188033
AACPS41,0.015042806428547007
AACPS51,0.0
AACPS61,0.0
AACPS71,0.008499486414237482
AACPS81,0.0
AACPS91,1.629002382985054e-08
AACTOOR,0.0
AADDGT,0.0
AAMYL,0.0
AAMYLpp,0.0
AB6PGH,0.0
ABTA,0.0
ABUTD,0.0
ABUTt2pp,0.0
ABUTtex,0.0
ACACCT,0.0
ACACT1r,0.036664852653199256
ACACT2r,0.036664852653199256
ACACT3r,0.036664852653199256
ACACT4r,0.036664836363175426
ACACT5r,0.036664836363175426
ACACT6r,0.02816534994893795
ACACT7r,0.02816534994893795
ACACT8r,4.453156468454629e-23
ACACt2pp,-1.6767716703654813e-23
ACACtex,-1.6767716705794833e-23
ACALD,5.12469128622322e-06
ACALDtex,0.0
ACALDtpp,0.0
ACANTHAT,0.0
ACBIPGT,0.0
ACCOAC,0.007780033503252866
ACCOAL,0.0
ACGAL1PPpp,0.0
ACGAL1Ptex,0.0
ACGALtex,0.0
ACGAM1PPpp,0.0
ACGAM1Ptex,0.0
ACGAMK,0.0
ACGAMT,0.0
ACGAptspp,0.0
ACGAtex,0.0
ACGK,0.03335958052209194
ACGS,0.03335958052209194
ACHBS,0.03712658896129517
ACKr,0.0
ACLS,0.10944835025923746
ACM6PH,0.0
ACMAMUT,0.0
ACMANAptspp,0.0
ACMANAtex,0.0
ACMUMptspp,0.0
ACMUMtex,0.0
ACNAMt2pp,0.0
ACNAMtex,0.0
ACNML,0.0
ACOAD1f,-0.036664852653199256
ACOAD2f,-0.036664852653199256
ACOAD3f,-0.036664852653199256
ACOAD4f,-0.036664836363175426
ACOAD5f,-0.036664836363175426
ACOAD6f,-0.02816534994893795
ACOAD7f,-0.01312254352039094
ACOAD8f,0.0
ACOATA1,2.490587801322825e-34
ACODA,0.03335958052209194
ACOLIPAabctex,0.0
ACONIs,0.0
ACONMT,0.0
ACONTa,0.6659307962593457
ACONTb,0.6659307962593457
ACOTA,-0.03335958052209194
ACPPAT1201,0.0
ACPPAT1401,0.0
ACPPAT1411,0.0
ACPPAT1601,0.0
ACPPAT1611,0.0
ACPPAT1801,0.0
ACPPAT1811,0.0
ACPS11,4.4329203224806264e-08
ACS,0.0
ACSERtex,0.0
ACSERtpp,0.0
ACt2rpp,-0.06318185174621647
ACt4pp,0.0
ACtex,-0.06318185174621647
ADA,0.0
ADCL,6.69e-05
ADCS,6.69e-05
ADD,0.0
ADEt2rpp,-6.276859623334001e-34
ADEtex,0.0
ADK1,0.8594668979935985
ADK3,0.0
ADK4,0.0
ADMDC,0.0
ADNCYC,0.0
ADNK1,0.0002336063432515387
ADNUC,0.0
ADNt2pp,0.0
ADNt2rpp,0.0
ADNtex,0.0
ADOCBIK,0.0
ADOCBLS,0.0
ADOCBLabcpp,0.0
ADOCBLtonex,0.0
ADPRDP,0.0
ADPT,0.0
ADSK,0.025932271224124535
ADSL1r,0.025065652399290986
ADSL2r,0.024060122496658422
ADSS,0.025065652399290986
AGDC,0.0
AGM3PA,0.0
AGM3PApp,0.0
AGM3PH,0.0
AGM3Pt2pp,0.0
AGM4PA,0.0
AGM4PApp,0.0
AGM4PCP,0.0
AGM4PCPpp,0.0
AGM4PH,0.0
AGM4Pt2pp,0.0
AGMH,0.0
AGMHE,0.0
AGMT,0.0
AGMt2pp,0.0
AGMtex,0.0
AGPAT1201,0.0003597380662029069
AGPAT1401,0.0
AGPAT1411,0.0
AGPAT1601,0.006381400000000001
AGPAT1611,0.0075214
AGPAT1801,0.0
AGPAT1811,0.0
AGPR,-0.03335958052209194
AGt3,0.0
AHCYSNS,0.00021477022840459724
AICART,0.037426245596388685
AIRC2,0.024060122496658422
AIRC3,-0.024060122496658422
AKGDH,0.5431114606994834
AKGt2rpp,0.0
AKGtex,0.0
ALAALAD,0.0
ALAALAabcpp,3.29832449157382e-36
ALAALAr,0.0027788
ALAALAtex,0.0
ALAGLUE,0.0
ALAR,0.0041682
ALATA_D2,0.0
ALATA_L,-0.06997937228753096
ALATA_L2,0.0
ALAabcpp,0.0
ALAt2pp,0.0
ALAt2rpp,6.575156499315672e-29
ALAt4pp,-6.575285124839072e-29
ALAtex,0.0
ALCD19,0.0
ALCD2x,0.0
ALDD19xr,0.0
ALDD2x,0.0
ALDD2y,0.0
ALDD3y,0.0
ALDD4,0.0
ALLK,0.0
ALLPI,0.0
ALLTAMH,0.0
ALLTN,0.0
ALLTNt2rpp,0.0
ALLTNtex,0.0
ALLULPE,0.0
ALLabcpp,0.0
ALLtex,0.0
ALR2,0.0
ALR4x,0.0
ALTRH,0.0
AM3PA,0.0
AM4PA,0.0
AM4PCP,0.0
AMALT1,0.0
AMALT2,0.0
AMALT3,0.0
AMALT4,0.0
AMANAPEr,0.0
AMANK,0.0
AMAOTr,7.842935279620513e-09
AMMQLT8,2.023952152371604e-34
AMPMS2,4.554807016137074e-07
AMPN,0.0
AMPTASECG,0.0
AMPTASEPG,-1.3308870260451605e-34
AMPtex,0.0
ANHGMtex,0.0
ANHMK,0.0
ANPRT,0.009039786867315101
ANS,0.009039786867315101
AOBUTDs,0.0
AOXSr21,7.842935279620513e-09
AP4AH,0.0
AP4AS,0.0
AP5AH,0.0
APCS,0.0
APG3PAT120,0.0
APG3PAT140,0.0
APG3PAT141,0.0
APG3PAT160,0.0
APG3PAT161,0.0
APG3PAT180,0.0
APG3PAT181,0.0
APH120,0.0
APH140,0.0
APH141,0.0
APH160,0.0
APH161,0.0
APH180,0.0
APH181,0.0
APPLDHr,0.0
APRAUR,2.401120068762248e-05
ARAI,-1.8258608738885297e-23
ARBTNR1,0.0
ARBTNR2,0.0
ARBTNR3,0.0
ARBTNabcpp,0.0
ARBTNexs,0.0
ARBTNtex,0.0
ARBTNtonex,0.0
ARBTNtpp,0.0
ARBTptspp,0.0
ARBTtex,0.0
ARBabcpp,0.0
ARBt2rpp,-1.8258608738885297e-23
ARBt3ipp,0.0
ARBtex,-1.8258608738885297e-23
ARGAGMt7pp,0.0
ARGDC,0.0
ARGDCpp,0.0
ARGORNt7pp,-2.8966915243089453e-33
ARGSL,0.03335958052209194
ARGSS,0.03335958052209194
ARGabcpp,0.0
ARGt3pp,0.0
ARGtex,0.0
ASAD,-0.12163103429071405
ASCBPL,0.0
ASCBptspp,0.0
ASCBtex,0.0
ASNN,0.0
ASNNpp,0.0
ASNS1,0.0251827416299421
ASNS2,0.0
ASNabcpp,0.0
ASNt2rpp,1.4092788479785333e-33
ASNtex,0.0
ASO3t8pp,0.0
ASO3tex,0.0
ASP1DC,5.764432920322481e-05
ASPCT,0.027186191537868904
ASPK,0.12163103429071405
ASPO3,0.00022829305361127757
ASPO4,0.0
ASPO5,0.0
ASPO6,0.0
ASPT,0.0
ASPTA,-0.29060807591366034
ASPabcpp,0.0
ASPt2_2pp,0.0
ASPt2_3pp,0.0
ASPt2pp,0.0
ASPt2rpp,0.0
ASPtex,0.0
ASR,0.0
AST,0.0
ATHRDHr,0.0
ATPHs,0.0
ATPPRT,0.013366123099730261
ATPS4rpp,6.983776520126887
BALAt2pp,0.0
BALAtex,0.0
BETALDHx,0.0
BETALDHy,0.0
BMOCOS,0.0
BMOGDS1,0.0
BMOGDS2,0.0
BPNT,0.02593231555332776
BSORx,0.0
BSORy,0.0
BTNt2ipp,2.2417767217255184e-23
BTNtex,2.2417767217255184e-23
BTS6,7.842935279620513e-09
BUTCT,0.0
BUTSO3abcpp,0.0
BUTSO3tex,0.0
BUTt2rpp,0.0
BUTtex,0.0
CA2t3pp,0.0
CA2tex,-6.575070042310877e-29
CADVtpp,7.319025713011855e-34
CAT,0.0
CAt6pp,6.575069850413089e-29
CBIAT,0.0
CBItonex,0.0
CBIuabcpp,0.0
CBL1abcpp,0.0
CBL1tonex,0.0
CBLAT,0.0
CBMD,0.0
CBMKr,0.060545772059960846
