,MetabolicFlux
12DGR120tipp,-9.005257008097308e-57
12DGR140tipp,2.1227695453111734e-22
12DGR141tipp,0.0
12DGR160tipp,-3.232400021060923e-22
12DGR161tipp,0.0
12DGR180tipp,0.0
12DGR181tipp,-3.2562190521809897e-23
12PPDRtex,0.0
12PPDRtpp,0.0
12PPDStex,0.0
12PPDStpp,0.0
14GLUCANabcpp,0.0
14GLUCANtexi,0.0
23CAMPtex,0.0
23CCMPtex,0.0
23CGMPtex,0.0
23CUMPtex,0.0
23DAPPAt2pp,0.0
23DAPPAtex,0.0
23PDE2pp,0.0
23PDE4pp,0.0
23PDE7pp,0.0
23PDE9pp,0.0
23bpg_generation,0.0
26DAHtex,0.0
2AGPA120tipp,0.0
2AGPA140tipp,1.172590752977113e-22
2AGPA141tipp,1.1714119999795493e-22
2AGPA160tipp,0.0
2AGPA161tipp,0.0
2AGPA180tipp,1.4823824215313896e-23
2AGPA181tipp,1.4823824215313896e-23
2AGPE120tipp,2.716888045533904e-22
2AGPE140tipp,-5.862953764884944e-23
2AGPE141tipp,-7.984693632916398e-25
2AGPE160tipp,0.00035973858932210676
2AGPE161tipp,0.0
2AGPE180tipp,1.357413443566474e-23
2AGPE181tipp,3.509222882909627e-23
2AGPEAT120,0.0
2AGPEAT140,0.0
2AGPEAT141,0.0
2AGPEAT160,0.00035973858932210676
2AGPEAT161,0.0
2AGPEAT180,0.0
2AGPEAT181,0.0
2AGPG120tipp,-2.716888045533904e-22
2AGPG140tipp,5.862953764884944e-23
2AGPG141tipp,7.984693632916398e-25
2AGPG160tipp,2.227938955492021e-22
2AGPG161tipp,2.516774831603294e-23
2AGPG180tipp,-1.357413443566474e-23
2AGPG181tipp,-3.509222882909627e-23
2AGPGAT120,0.0
2AGPGAT140,0.0
2AGPGAT141,0.0
2AGPGAT160,0.0
2AGPGAT161,2.516774831603294e-23
2AGPGAT180,0.0
2AGPGAT181,0.0
2DGULRGx,0.0
2DGULRGy,0.0
2DGULRx,0.0
2DGULRy,0.0
2Fe2S_to_ErpA_by_IscA,0.0
2Fe2S_to_ErpA_by_IscU,7.066079010542966e-07
2Fe2S_to_ErpA_by_SufA,0.0
2Fe2S_to_IscA_by_IscU,0.0
2Fe2S_to_IscA_by_SufBCD,0.0
2Fe2S_to_SufA_by_IscU,-1.58468088409012e-39
2MAHMP,0.0
34dhpactex,0.0
3AMACHYD,-9.557916744866133e-36
3AMPtex,0.0
3CMPtex,0.0
3GMPtex,0.0
3HAD1001,0.0
3HAD1201,0.0
3HAD1211,0.0
