,MetabolicFlux
12DGR120tipp,-1.084711049654214e-22
12DGR140tipp,0.0
12DGR141tipp,0.0
12DGR160tipp,-2.931195890139042e-24
12DGR161tipp,2.877773669441243e-23
12DGR180tipp,5.0229146005674865e-24
12DGR181tipp,5.0229146005674865e-24
12PPDRtex,0.0
12PPDRtpp,0.0
12PPDStex,3.057603716384433e-23
12PPDStpp,3.057603716384433e-23
14GLUCANabcpp,3.511911940174715e-23
14GLUCANtexi,8.301061909276271e-57
23CAMPtex,0.0
23CCMPtex,0.0
23CGMPtex,0.0
23CUMPtex,0.0
23DAPPAt2pp,0.0
23DAPPAtex,0.0
23PDE2pp,0.0
23PDE4pp,0.0
23PDE7pp,0.0
23PDE9pp,0.0
23bpg_generation,0.0
26DAHtex,0.0
2AGPA120tipp,0.0
2AGPA140tipp,0.0
2AGPA141tipp,6.407007602839852e-23
2AGPA160tipp,0.0
2AGPA161tipp,0.0
2AGPA180tipp,0.0
2AGPA181tipp,0.0
2AGPE120tipp,1.084711049654214e-22
2AGPE140tipp,0.0
2AGPE141tipp,-3.078769444757287e-23
2AGPE160tipp,0.00035973858932210676
2AGPE161tipp,0.0
2AGPE180tipp,-3.5129991907723615e-23
2AGPE181tipp,-4.255341861012491e-23
2AGPEAT120,0.0
2AGPEAT140,0.0
2AGPEAT141,0.0
2AGPEAT160,0.00035973858932210676
2AGPEAT161,0.0
2AGPEAT180,0.0
2AGPEAT181,0.0
2AGPG120tipp,-1.084711049654214e-22
2AGPG140tipp,0.0
2AGPG141tipp,1.0945474758610927e-24
2AGPG160tipp,0.0
2AGPG161tipp,0.0
2AGPG180tipp,-4.041586972628904e-23
2AGPG181tipp,-6.787067217838262e-24
2AGPGAT120,0.0
2AGPGAT140,0.0
2AGPGAT141,0.0
2AGPGAT160,-6.588324945292637e-30
2AGPGAT161,0.0
2AGPGAT180,0.0
2AGPGAT181,0.0
2DGULRGx,9.919260077797667e-25
2DGULRGy,0.0
2DGULRx,0.0
2DGULRy,0.0
2Fe2S_to_ErpA_by_IscA,0.0
2Fe2S_to_ErpA_by_IscU,7.066079010542966e-07
2Fe2S_to_ErpA_by_SufA,0.0
2Fe2S_to_IscA_by_IscU,0.0
2Fe2S_to_IscA_by_SufBCD,0.0
2Fe2S_to_SufA_by_IscU,0.0
2MAHMP,0.0
34dhpactex,0.0
3AMACHYD,-5.443699382765247e-26
3AMPtex,0.0
3CMPtex,0.0
3GMPtex,0.0
3HAD1001,0.0
3HAD1201,0.0
3HAD1211,0.0
3HAD1401,0.0
3HAD1411,0.0
3HAD1601,0.0
3HAD1611,9.376310279095281e-23
3HAD1801,0.0
3HAD1811,0.0
3HAD401,0.0
3HAD601,0.0
3HAD801,0.0
3HCINNMH,0.0
3HPPPNH,0.0
3HPPtex,0.0
3HPPtpp,0.0
3KGK,0.0
3NTD2pp,0.0
3NTD4pp,0.0
3NTD7pp,0.0
3NTD9pp,0.0
3OAR1001,0.0
3OAR1201,0.0
3OAR1211,0.0
3OAR1401,0.007780003324786324
3OAR1411,0.0
3OAR1601,0.0
3OAR1611,9.376314286065485e-23
3OAR1801,0.0
3OAR1811,0.0
3OAR401,0.0
3OAR601,0.0
3OAR801,0.0
3OAS1001,0.0
3OAS1201,0.0
3OAS1211,0.0
3OAS1401,0.007780006649574069
3OAS1411,0.0
3OAS1601,0.0
3OAS1611,9.376318293037401e-23
3OAS1801,0.0
3OAS1811,0.0
3OAS601,0.0
3OAS801,0.0
3OXCOAT,0.0
3PEPTabcpp,0.0
3PEPTtex,0.0
3UMPtex,0.0
42A12BOOXpp,0.0
4Fe4S_to_ErpA_by_IscA,0.0
4Fe4S_to_ErpA_by_IscU,1.8644245040370912e-06
4Fe4S_to_ErpA_by_SufA,0.0
4Fe4S_to_IscA_by_IscU,0.0
4Fe4S_to_IscA_by_SufBCD,0.0
4Fe4S_to_SufA_by_IscU,0.0
4HOXPACDtex,0.0
4HTHRS,0.0
4PCP,0.0
4PCPpp,0.0
4PEPTabcpp,0.0
4PEPTtex,0.0
5DGLCNR,3.56714941841829e-23
5DGLCNt2rpp,3.6663420191962666e-23
5DGLCNtex,3.6663420191962666e-23
5DOAN,4.84797749565535e-06
5MTRtex,-8.833498886101202e-06
5MTRtpp,8.833498886101202e-06
A5PISO,0.00389
AACPS11,-3.2816717545149587e-35
AACPS21,9.37632230001103e-23
AACPS31,0.012762805454188033
AACPS41,0.015042806428547007
AACPS51,4.934048582795728e-23
AACPS61,4.934048582795728e-23
AACPS71,0.008499487460476327
AACPS81,0.0
AACPS91,1.6526939063894716e-08
AACTOOR,0.0
AADDGT,0.0
AAMYL,3.511911940174715e-23
AAMYLpp,-3.5118944142730375e-23
AB6PGH,0.0
ABTA,0.0
ABUTD,0.0
ABUTt2pp,0.0
ABUTtex,0.0
ACACCT,9.384938030525813e-35
ACACT1r,0.03666485445947254
ACACT2r,0.03666485445947254
ACACT3r,0.03666485445947254
ACACT4r,0.03666483793253348
ACACT5r,0.03666483793253348
ACACT6r,0.02816535047205715
ACACT7r,0.02816535047205715
ACACT8r,9.31642717076816e-23
ACACt2pp,1.442881104620402e-34
ACACtex,0.0
ACALD,5.124360116841403e-06
ACALDtex,0.0
ACALDtpp,0.0
ACANTHAT,0.0
ACBIPGT,0.0
ACCOAC,0.007780033503252866
ACCOAL,0.0
